title,tokens,sentences,ttr,JJ,MD,JJR,JJS,VBD
Arma3,463015,25207,0.33466666666666667,0.07564765720333035,0.01602107923069447,0.004092739976026695,0.004293597399652279,0.019593317711089273
Arma3_Negative,143181,7060,0.35933333333333334,0.06810959554689519,0.015274372996417122,0.0038552601252959543,0.0028774767601846612,0.021588059868278612
Arma3_Positive,365964,20349,0.31966666666666665,0.07669060344733361,0.015791170716245313,0.004033183591828704,0.004667125728213704,0.01857559759976391
CounterStrike,150928,10299,0.3473333333333333,0.07784506519665006,0.014192197604155623,0.004306689282306795,0.011290151595462736,0.023275999151913494
CounterStrike_Negative,12468,747,0.3283333333333333,0.07146294513955727,0.017163939685595122,0.004972730189284569,0.003288418350978505,0.021094000641642605
CounterStrike_Positive,149446,10319,0.3406666666666667,0.07582672001927117,0.014332936311443598,0.004429693668616089,0.01218500327877628,0.023045113285066178
CrusaderKings2,327782,20706,0.35133333333333333,0.07333532652799726,0.015205227864861401,0.0032582631138988716,0.00509790043382492,0.02291767089101903
CrusaderKings2_Negative,16229,1038,0.31,0.06901226200012324,0.013124653398237722,0.002957668371433853,0.0028960502803623144,0.02606445252326083
CrusaderKings2_Positive,327849,20802,0.351,0.07338439342502188,0.01519907030370689,0.00326064743220202,0.005096858614789125,0.022931288489518042
